topic,primary_keyword,secondary_keywords,intent,category,wordstat_frequency,competitor_refs,priority
Ментальные модели: как думать лучше,ментальные модели,mental models; модели мышления; как принимать решения; фреймворки мышления,informational,thinking,9500,,9
Первые принципы: метод мышления Маска и Аристотеля,мышление первыми принципами,first principles thinking; метод первых принципов; как думать с нуля,informational,thinking,5200,,9
Когнитивные искажения: полный список и как они влияют на решения,когнитивные искажения,bias; предвзятость подтверждения; список когнитивных искажений; когнитивные ошибки,informational,thinking,31000,,8
Второй порядок мышления: как думать о последствиях последствий,мышление второго порядка,second order thinking; последствия решений; долгосрочное мышление,informational,thinking,2100,,8
Принцип Парето: 80/20 в жизни и работе,принцип Парето,правило 80 20; закон Парето; 80 20 в жизни; как использовать принцип Парето,informational,productivity,19000,,7
Инверсия: как решать проблемы наоборот,инверсия мышление,inversion thinking; обратное мышление; мышление от конца; как не проиграть,informational,thinking,3400,,7
Круг компетентности: что это и зачем знать свои границы,круг компетентности,circle of competence; Баффет круг компетенций; знать свои границы,informational,thinking,1800,,7
Стоицизм: философия продуктивности и стрессоустойчивости,стоицизм,стоическая философия; Марк Аврелий; стоицизм в жизни; стоицизм практика,informational,philosophy,12000,,6
Закон Гудхарта: почему метрики перестают работать,закон Гудхарта,Goodhart's law; проблема метрик; когда метрика становится целью,informational,thinking,1200,,6
Метанавыки: что это такое и как их развивать для эффективного обучения,метанавыки обучение,"метанавыки, навыки обучения, как научиться учиться",informational,dictionary,0,,4
